# Temperature,OrderParameter
1.000000000000000056e-01,1.000000000000000000e+00
2.526315789473684292e-01,1.000000000000000000e+00
4.052631578947368807e-01,1.000000000000000000e+00
5.578947368421052211e-01,1.000000000000000000e+00
7.105263157894736725e-01,1.000000000000000000e+00
8.631578947368421240e-01,9.399999999999999467e-01
1.015789473684210575e+00,1.000000000000000000e+00
1.168421052631579027e+00,9.799999999999999822e-01
1.321052631578947478e+00,7.600000000000000089e-01
1.473684210526315930e+00,6.800000000000000488e-01
1.626315789473684381e+00,3.599999999999999867e-01
1.778947368421052833e+00,3.400000000000000244e-01
1.931578947368421062e+00,4.000000000000000222e-01
2.084210526315789291e+00,3.800000000000000044e-01
2.236842105263157965e+00,4.000000000000000222e-01
2.389473684210526638e+00,3.200000000000000067e-01
2.542105263157894868e+00,3.200000000000000067e-01
2.694736842105263097e+00,3.200000000000000067e-01
2.847368421052631771e+00,3.800000000000000044e-01
3.000000000000000000e+00,3.800000000000000044e-01
